Q89	Where is Fort Knox located ?	Where is the location of Fort Knox ?	Where is Fort Knox situated ?	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/ontology/location> ?uri. ?uri a <http://dbpedia.org/ontology/Place>. }
Q91	Where did Abraham Lincoln die ?	In which place did Abraham Lincoln die?	Name the place where Abraham Lincoln passed away .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. }
Q92	When was Jack Wolfskin founded ?	In which year was Jack Wolfskin founded?	What is the founding year of Jack Wolfskin ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT xsd:date(?year) WHERE { res:Jack_Wolfskin dbo:foundingYear ?year }
Q93	When did the Boston Tea Party take place ?	In which year did the Boston Tea Party happen?	Boston Tea Party happened on which date ?	SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boston_Tea_Party> <http://dbpedia.org/property/date> ?d }
Q36	Where is Sungkyunkwan University ?	Where Sungkyunkwan University is located ?	Sungkyunkwan University is loacated at which place?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }
Q50	Who was married to president Chirac ?	What was the name of president Chirac's wife?	Whom Predident Chirac married to?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri }
Q67	What form of government does Russia have ?	What is the form of government in Russia?	What type of government does Russia consist ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri }
Q34	How large is the area of UK ?	How much is the area of UK ?	What is the area of  UK ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area }
Q97	When did princess Diana die ?	How many years ago did princess Diana die?	Give the date when princess Diana died ?	"SELECT DISTINCT xsd:date(?d) WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d }"
Q1	Who is the mayor of New York City ?	who is current mayor of  New York City ?	What is the name of current New Yyork City mayor ? 	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri }
Q14	When did Latvia join the EU ?	When did Latvia become part of the EU? 	When did Latvia become part of the EU ?	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date }
Q3	Who created the comic Captain America ?	who broght  Captain America into existence?	Name the person who created the comic Captain America ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }
Q85	When did Michael Jackson die ?	Which year did Michael Jackson die ?	When was the death of Michael Jackson? 	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?date }
Q45	How tall is Claudia Schiffer ?	What is Claudia Schiffer's height?	What is the height of Claudia Schiffer ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height }
